adressetekst,kommunenummer,kommunenavn,postnummer,poststed,lat,lon,epsg
Digerdalsveien 773,4211,GJERSTAD,4980,GJERSTAD,58.97907250275412,8.975055302201355,EPSG:4258
Digerdalsveien 800,4211,GJERSTAD,4980,GJERSTAD,58.98118225830777,8.976090593945429,EPSG:4258
"Egderød, Gjerstadveien 1274",4211,GJERSTAD,4980,GJERSTAD,58.876145835836454,9.013736050466903,EPSG:4258
"Eikeland, Eikelandsveien 119",4211,GJERSTAD,4993,SUNDEBRU,58.80276370214242,9.094100922390078,EPSG:4258
"Eikeland, Eikelandsveien 121",4211,GJERSTAD,4993,SUNDEBRU,58.80303357085332,9.093494176845786,EPSG:4258
"Eikeland, Eikelandsveien 123",4211,GJERSTAD,4993,SUNDEBRU,58.80231738261019,9.09281556018828,EPSG:4258
"Eikeland, Eikelandsveien 129",4211,GJERSTAD,4993,SUNDEBRU,58.80410977892953,9.097943381251072,EPSG:4258
"Eikeland, Eikelandsveien 131",4211,GJERSTAD,4993,SUNDEBRU,58.803705664379315,9.097907627784044,EPSG:4258
Eikelandsveien 1,4211,GJERSTAD,4993,SUNDEBRU,58.79857320222159,9.07939954208274,EPSG:4258
Eikelandsveien 117,4211,GJERSTAD,4993,SUNDEBRU,58.80297128783116,9.095153748910827,EPSG:4258
Eikelandsveien 125,4211,GJERSTAD,4993,SUNDEBRU,58.803365806992616,9.096020187906339,EPSG:4258
Eikelandsveien 133,4211,GJERSTAD,4993,SUNDEBRU,58.80102974622088,9.09738091018141,EPSG:4258
Eikelandsveien 134,4211,GJERSTAD,4993,SUNDEBRU,58.804452471032775,9.09605780543474,EPSG:4258
Eikelandsveien 135,4211,GJERSTAD,4993,SUNDEBRU,58.80070535499126,9.098799081530402,EPSG:4258
Eikelandsveien 137,4211,GJERSTAD,4993,SUNDEBRU,58.8010904266794,9.100236577901851,EPSG:4258
